ml,lambda1,mu_crit,Tc_crit
24.0,5.761111111111113,806.0,36.35464891975308
24.0,7.588888888888889,366.0,124.77103695130316
24.0,7.3277777777777775,478.0,104.04637131344307
24.0,6.8055555555555545,626.0,72.8010866769547
24.0,7.066666666666666,562.0,86.55626085069444
24.0,6.544444444444442,682.0,61.05642562049896
24.0,6.022222222222222,766.0,43.67953746570645
24.0,6.283333333333332,726.0,51.83186514060357
24.0,7.780882352941176,386.0,123.10293692129628
24.0,7.642647058823527,334.0,129.91983882030178
24.0,6.398529411764708,706.0,55.72628319508746
24.0,7.504411764705884,406.0,117.73308899176952
24.0,7.435294117647058,438.0,111.88287680041151
24.0,5.569117647058823,830.0,31.96201989026063
24.0,5.707352941176469,814.0,34.97395833333333
24.0,5.845588235294117,794.0,38.444606535065155
24.0,6.1911764705882355,742.0,48.65167395404663
24.0,6.2602941176470575,730.0,50.79362782921811
24.0,6.329411764705883,722.0,52.74707433127572
24.0,6.536764705882352,682.0,60.934382099837094
15.0,5.093571428571429,1834.0,0.08680555555555558
15.0,5.187142857142857,1842.0,0.04340277777777778
15.0,5.280714285714286,1854.0,0.0
24.0,6.744117647058824,642.0,69.56045645254628
15.0,5.3742857142857146,382.0,74.18622470850481
24.0,6.882352941176469,606.0,77.22822359396433
15.0,5.467857142857144,450.0,67.02376000675153
15.0,6.029285714285713,282.0,100.52672586323305
15.0,5.5614285714285705,430.0,71.81809413580248
15.0,5.6549999999999985,406.0,76.94840963648834
15.0,5.842142857142857,354.0,87.47372223025978
15.0,5.748571428571428,382.0,82.11467978395062
15.0,5.935714285714285,322.0,93.68278765057012
15.0,6.122857142857143,234.0,107.94129925009644
15.0,6.216428571428571,174.0,115.99440586419752
24.0,7.366176470588236,466.0,106.18916745702587
24.0,7.020588235294117,574.0,84.26279578189299
24.0,7.227941176470589,514.0,96.56250167448988
24.0,7.86142857142857,318.0,135.0
24.0,7.8842857142857135,430.0,120.41666666666666
24.0,7.89,37.0,156.72502614506638
24.0,7.8842857142857135,61.0,156.28550303452914
24.0,7.867142857142856,109.0,154.0175540635106
24.0,7.86142857142857,123.0,153.43925924801331
24.0,7.855714285714285,133.0,152.65901505180966
24.0,7.878571428571428,83.0,155.5532985912653
24.0,7.872857142857143,95.0,154.98473634251317
24.0,6.052941176470588,751.0,45.59716328017832
24.0,6.191176470588236,741.0,48.62554102768133
24.0,6.122058823529412,747.0,46.99742083904893
24.0,6.2602941176470575,729.0,50.90995259481929
24.0,6.4676470588235295,693.0,58.393625016075106
24.0,6.536764705882352,681.0,61.00264435442386
24.0,6.398529411764708,707.0,55.715692976847066
24.0,6.329411764705883,719.0,53.22395416571406
24.0,7.85,141.0,152.00440088035748
24.0,7.780882352941178,227.0,144.233299125779
24.0,7.711764705882352,285.0,136.82980380221164
24.0,7.297058823529412,487.0,102.00409027023638
24.0,7.642647058823527,331.0,130.1780193607745
24.0,7.5735294117647065,369.0,123.7504022961945
24.0,7.504411764705884,405.0,117.5215830582705
24.0,7.435294117647059,435.0,112.17869962539056
24.0,7.366176470588236,463.0,106.81767257780615
24.0,7.089705882352941,553.0,88.29331790904884
24.0,7.227941176470589,511.0,97.16976491948161
24.0,7.158823529411764,533.0,92.49637389215748
24.0,7.020588235294117,573.0,84.11604919224283
24.0,6.951470588235294,589.0,80.57800562747677
24.0,6.882352941176469,607.0,76.93821633436849
24.0,6.813235294117646,623.0,73.49428157983729
24.0,6.675,653.0,66.92139564936271
24.0,6.744117647058824,639.0,70.10817775213701
24.0,5.845588235294117,2163.0,0.0
24.0,5.638235294117648,2165.0,0.05787037037037038
24.0,5.5691176470588255,2171.0,0.0012056327160493829
24.0,6.605882352941176,667.0,64.06440668581389
24.0,5.983823529411764,759.0,43.78992728099756
24.0,5.9147058823529415,777.0,40.95122781691619
24.0,5.776470588235294,4283.0,0.3472222222222223
24.0,5.707352941176469,4207.0,0.004822530864197532
24.0,5.5,4137.0,0.689621913580247
15.0,6.315,15.0,125.47295954353058
15.0,5.28071428571429,511.0,55.0
15.0,4.9,549.0,44.41268355758103
15.0,5.0,533.0,47.93350617417911
15.0,4.7,573.0,38.52216723197446
15.0,4.600000000000003,581.0,36.1659280491791
15.0,3.100000000000002,709.0,10.185801955625573
15.0,3.200000000000002,701.0,11.299524712791495
15.0,4.500000000000004,597.0,33.18212019890261
15.0,4.400000000000003,597.0,31.628272288130145
15.0,4.3000000000000025,609.0,29.144975324717077
15.0,4.200000000000003,623.0,26.679098079561037
15.0,3.9000000000000026,653.0,20.775990427276234
15.0,4.100000000000003,631.0,24.75304176668953
15.0,4.000000000000003,645.0,22.49094268422068
15.0,3.8000000000000025,661.0,19.1499468851809
15.0,3.7000000000000015,563.0,23.86252572016461
15.0,3.6000000000000023,561.0,22.537035529996142
15.0,3.5000000000000018,659.0,15.907475280064011
15.0,3.3000000000000016,625.0,15.280874746817124
15.0,3.4000000000000017,691.0,13.482947888088708
15.0,2.9000000000000017,677.0,10.019291379324203
15.0,2.6000000000000014,741.0,5.974134303614638
15.0,2.8000000000000016,727.0,7.530653583914419
15.0,2.700000000000001,729.0,6.84350096149209
15.0,2.5000000000000013,737.0,5.517297299092472
15.0,2.3000000000000007,687.0,5.274241255144034
15.0,2.400000000000001,753.0,4.702146825028262
15.0,2.200000000000001,765.0,3.630289357712567
15.0,1.9000000000000008,765.0,2.464803059895833
15.0,2.100000000000001,699.0,4.041548782578875
15.0,2.000000000000001,713.0,3.3637152777777777
15.0,1.7000000000000006,615.0,2.9803240740740744
15.0,1.8000000000000007,793.0,1.9381487811053244
15.0,1.6000000000000003,745.0,1.629412615740741
15.0,1.5000000000000004,817.0,0.9865182726289821
15.0,1.4000000000000004,827.0,0.7235880105928975
15.0,1.3000000000000005,841.0,0.4524278052059222
15.0,1.2000000000000002,855.0,0.21597012352823508
15.0,1.1,687.0,0.5979938271604939
15.0,1.0,1385.0,0.20978009259259264
9.0,5.299999999999998,209.0,87.19971317104624
9.0,5.499999999999997,79.0,101.52182998971195
9.0,5.399999999999998,159.0,94.15200111215898
9.0,5.199999999999998,245.0,81.1134420010288
9.0,5.099999999999999,277.0,75.24420760459535
9.0,4.999999999999999,303.0,70.07025713020121
9.0,4.9,327.0,65.0316900311341
9.0,5.299999999999998,209.0,87.19971317104624
9.0,4.599999999999998,381.0,52.1778105642897
9.0,4.6999999999999975,365.0,56.15138029038335
9.0,4.499999999999998,397.0,48.39760046436954
9.0,4.299999999999999,423.0,41.8510734001105
9.0,4.399999999999999,411.0,45.03673458695322
9.0,4.1,445.0,35.923245067622595
9.0,4.199999999999998,435.0,38.78192098670172
9.0,4.0,455.0,33.32355282397881
9.0,3.2,495.0,18.008000042866946
9.0,3.7000000000000006,481.0,26.194316373876532
9.0,3.3000000000000003,505.0,18.82579159834748
9.0,3.900000000000001,463.0,30.911726251714683
9.0,3.4000000000000004,499.0,20.59532506239522
9.0,3.8000000000000007,473.0,28.39817460508831
9.0,3.6000000000000005,483.0,24.53002650605853
9.0,3.5000000000000004,493.0,22.345567240145964
9.0,3.1,503.0,16.333376200274344
9.0,2.3000000000000003,533.0,7.147024230538409
9.0,3.0,503.0,15.097290094878831
9.0,2.5000000000000004,519.0,9.206747256515774
9.0,2.8000000000000007,529.0,11.81010179558899
9.0,2.4000000000000004,539.0,7.82018776910913
9.0,2.6000000000000005,535.0,9.677985920591373
9.0,2.9000000000000012,525.0,13.021807153856154
9.0,2.7000000000000006,531.0,10.761477623456793
9.0,2.2,525.0,8.309653953269677
9.0,2.0,543.0,4.847983110425241
9.0,5.531399999999999,10.5,103.77466172420513
9.0,5.531499999999999,9.5,103.93809644089285
9.0,5.531599999999997,8.5,103.81465292652832
9.0,5.531699999999997,7.5,103.95188034546786
9.0,5.531799999999998,5.5,103.96096873233722
9.0,5.531899999999998,2.5,103.926912620834
9.0,5.531299999999999,11.5,103.92211684595371
9.0,5.531199999999999,12.5,103.73546773023564
9.0,5.5310000000000015,13.5,103.90144570247007
9.0,5.5311,13.5,103.90394664613815
3.0,4.8,141.0,67.56951728475438
3.0,4.0,263.0,31.58940444757909
3.0,2.7,349.0,12.920464409722225
3.0,5.0,37.0,77.99065483940973
3.0,4.7,171.0,63.456974735966426
3.0,3.0,341.0,18.195758732948484
3.0,4.4,231.0,52.03850909969897
