mq,lambda1,order
0.0,0.0,0.0
10.0,6.0,1.0
10.0,5.6,2.0
10.0,5.8,1.0
10.0,5.7,1.0
10.0,5.65,1.0
10.0,5.625,2.0
10.0,5.6375,2.0
9.9,6.0,1.0
9.9,5.6,2.0
9.9,5.8,1.0
9.9,5.7,1.0
9.9,5.65,1.0
9.9,5.625,2.0
9.9,5.6375,1.0
9.8,6.0,1.0
9.8,5.6,2.0
9.8,5.8,1.0
9.8,5.7,1.0
9.8,5.65,1.0
9.8,5.625,1.0
9.8,5.6125,2.0
9.700000000000001,6.0,1.0
9.700000000000001,5.6,2.0
9.700000000000001,5.8,1.0
9.700000000000001,5.7,1.0
9.700000000000001,5.65,1.0
9.700000000000001,5.625,1.0
9.700000000000001,5.6125,1.0
9.600000000000001,6.0,1.0
9.600000000000001,5.6,1.0
9.600000000000001,5.199999999999999,2.0
9.600000000000001,5.3999999999999995,2.0
9.600000000000001,5.5,2.0
9.600000000000001,5.55,2.0
9.600000000000001,5.574999999999999,2.0
9.600000000000001,5.5874999999999995,2.0
9.500000000000002,6.0,1.0
9.500000000000002,5.6,1.0
9.500000000000002,5.199999999999999,2.0
9.500000000000002,5.3999999999999995,2.0
9.500000000000002,5.5,2.0
9.500000000000002,5.55,2.0
9.500000000000002,5.574999999999999,2.0
9.500000000000002,5.5874999999999995,1.0
9.400000000000002,6.0,1.0
9.400000000000002,5.6,1.0
9.400000000000002,5.199999999999999,2.0
9.400000000000002,5.3999999999999995,2.0
9.400000000000002,5.5,2.0
9.400000000000002,5.55,2.0
9.400000000000002,5.574999999999999,1.0
9.400000000000002,5.562499999999999,2.0
9.300000000000002,6.0,1.0
9.300000000000002,5.6,1.0
9.300000000000002,5.199999999999999,2.0
9.300000000000002,5.3999999999999995,2.0
9.300000000000002,5.5,2.0
9.300000000000002,5.55,2.0
9.300000000000002,5.574999999999999,1.0
9.300000000000002,5.562499999999999,1.0
9.200000000000003,6.0,1.0
9.200000000000003,5.6,1.0
9.200000000000003,5.199999999999999,2.0
9.200000000000003,5.3999999999999995,2.0
9.200000000000003,5.5,2.0
9.200000000000003,5.55,1.0
9.200000000000003,5.5249999999999995,2.0
9.200000000000003,5.5375,2.0
9.100000000000003,6.0,1.0
9.100000000000003,5.6,1.0
9.100000000000003,5.199999999999999,2.0
9.100000000000003,5.3999999999999995,2.0
9.100000000000003,5.5,2.0
9.100000000000003,5.55,1.0
9.100000000000003,5.5249999999999995,2.0
9.100000000000003,5.5375,1.0
9.000000000000004,6.0,1.0
9.000000000000004,5.6,1.0
9.000000000000004,5.199999999999999,2.0
9.000000000000004,5.3999999999999995,2.0
9.000000000000004,5.5,2.0
9.000000000000004,5.55,1.0
9.000000000000004,5.5249999999999995,1.0
9.000000000000004,5.512499999999999,2.0
8.900000000000004,6.0,1.0
8.900000000000004,5.6,1.0
8.900000000000004,5.199999999999999,2.0
8.900000000000004,5.3999999999999995,2.0
8.900000000000004,5.5,2.0
8.900000000000004,5.55,1.0
8.900000000000004,5.5249999999999995,1.0
8.900000000000004,5.512499999999999,1.0
8.800000000000004,6.0,1.0
8.800000000000004,5.6,1.0
8.800000000000004,5.199999999999999,2.0
8.800000000000004,5.3999999999999995,2.0
8.800000000000004,5.5,1.0
8.800000000000004,5.45,2.0
8.800000000000004,5.475,2.0
8.800000000000004,5.4875,2.0
8.700000000000005,6.0,1.0
8.700000000000005,5.6,1.0
8.700000000000005,5.199999999999999,2.0
8.700000000000005,5.3999999999999995,2.0
8.700000000000005,5.5,1.0
8.700000000000005,5.45,2.0
8.700000000000005,5.475,2.0
8.700000000000005,5.4875,1.0
8.600000000000005,6.0,1.0
8.600000000000005,5.6,1.0
8.600000000000005,5.199999999999999,2.0
8.600000000000005,5.3999999999999995,2.0
8.600000000000005,5.5,1.0
8.600000000000005,5.45,2.0
8.600000000000005,5.475,1.0
8.600000000000005,5.4624999999999995,2.0
8.500000000000005,6.0,1.0
8.500000000000005,5.6,1.0
8.500000000000005,5.199999999999999,2.0
8.500000000000005,5.3999999999999995,2.0
8.500000000000005,5.5,1.0
8.500000000000005,5.45,2.0
8.500000000000005,5.475,2.0
8.500000000000005,5.4875,1.0
8.400000000000006,6.0,1.0
8.400000000000006,5.6,1.0
8.400000000000006,5.199999999999999,2.0
8.400000000000006,5.3999999999999995,2.0
8.400000000000006,5.5,1.0
8.400000000000006,5.45,2.0
8.400000000000006,5.475,1.0
8.400000000000006,5.4624999999999995,2.0
8.300000000000006,6.0,1.0
8.300000000000006,5.6,1.0
8.300000000000006,5.199999999999999,2.0
8.300000000000006,5.3999999999999995,2.0
8.300000000000006,5.5,1.0
8.300000000000006,5.45,2.0
8.300000000000006,5.475,1.0
8.300000000000006,5.4624999999999995,1.0
8.200000000000006,6.0,1.0
8.200000000000006,5.6,1.0
8.200000000000006,5.199999999999999,2.0
8.200000000000006,5.3999999999999995,2.0
8.200000000000006,5.5,1.0
8.200000000000006,5.45,1.0
8.200000000000006,5.425,2.0
8.200000000000006,5.4375,2.0
8.100000000000007,6.0,1.0
8.100000000000007,5.6,1.0
8.100000000000007,5.199999999999999,2.0
8.100000000000007,5.3999999999999995,2.0
8.100000000000007,5.5,1.0
8.100000000000007,5.45,1.0
8.100000000000007,5.425,2.0
8.100000000000007,5.4375,1.0
8.000000000000007,6.0,1.0
8.000000000000007,5.6,1.0
8.000000000000007,5.199999999999999,2.0
8.000000000000007,5.3999999999999995,2.0
8.000000000000007,5.5,1.0
8.000000000000007,5.45,1.0
8.000000000000007,5.425,1.0
8.000000000000007,5.4125,2.0
7.9000000000000075,6.0,1.0
7.9000000000000075,5.6,1.0
7.9000000000000075,5.199999999999999,2.0
7.9000000000000075,5.3999999999999995,2.0
7.9000000000000075,5.5,1.0
7.9000000000000075,5.45,1.0
7.9000000000000075,5.425,1.0
7.9000000000000075,5.4125,1.0
7.800000000000008,6.0,1.0
7.800000000000008,5.6,1.0
7.800000000000008,5.199999999999999,2.0
7.800000000000008,5.3999999999999995,1.0
7.800000000000008,5.3,2.0
7.800000000000008,5.35,2.0
7.800000000000008,5.374999999999999,2.0
7.800000000000008,5.387499999999999,2.0
7.700000000000008,6.0,1.0
7.700000000000008,5.6,1.0
7.700000000000008,5.199999999999999,2.0
7.700000000000008,5.3999999999999995,1.0
7.700000000000008,5.3,2.0
7.700000000000008,5.35,2.0
7.700000000000008,5.374999999999999,2.0
7.700000000000008,5.387499999999999,2.0
7.6000000000000085,6.0,1.0
7.6000000000000085,5.6,1.0
7.6000000000000085,5.199999999999999,2.0
7.6000000000000085,5.3999999999999995,1.0
7.6000000000000085,5.3,2.0
7.6000000000000085,5.35,2.0
7.6000000000000085,5.374999999999999,2.0
7.6000000000000085,5.387499999999999,1.0
7.500000000000009,6.0,1.0
7.500000000000009,5.6,1.0
7.500000000000009,5.199999999999999,2.0
7.500000000000009,5.3999999999999995,1.0
7.500000000000009,5.3,2.0
7.500000000000009,5.35,2.0
7.500000000000009,5.374999999999999,1.0
7.500000000000009,5.362499999999999,2.0
7.400000000000009,6.0,1.0
7.400000000000009,5.6,1.0
7.400000000000009,5.199999999999999,2.0
7.400000000000009,5.3999999999999995,1.0
7.400000000000009,5.3,2.0
7.400000000000009,5.35,2.0
7.400000000000009,5.374999999999999,1.0
7.400000000000009,5.362499999999999,1.0
7.30000000000001,6.0,1.0
7.30000000000001,5.6,1.0
7.30000000000001,5.199999999999999,2.0
7.30000000000001,5.3999999999999995,1.0
7.30000000000001,5.3,2.0
7.30000000000001,5.35,1.0
7.30000000000001,5.324999999999999,2.0
7.30000000000001,5.3374999999999995,2.0
7.20000000000001,6.0,1.0
7.20000000000001,5.6,1.0
7.20000000000001,5.199999999999999,1.0
7.20000000000001,4.799999999999999,2.0
7.20000000000001,4.999999999999999,2.0
7.20000000000001,5.1,2.0
7.20000000000001,5.1499999999999995,1.0
7.20000000000001,5.124999999999999,1.0
7.20000000000001,5.112499999999999,1.0
7.10000000000001,6.0,1.0
7.10000000000001,5.6,1.0
7.10000000000001,5.199999999999999,2.0
7.10000000000001,5.3999999999999995,1.0
7.10000000000001,5.3,2.0
7.10000000000001,5.35,1.0
7.10000000000001,5.324999999999999,2.0
7.10000000000001,5.3374999999999995,1.0
7.000000000000011,6.0,1.0
7.000000000000011,5.6,1.0
7.000000000000011,5.199999999999999,1.0
7.000000000000011,4.799999999999999,2.0
7.000000000000011,4.999999999999999,2.0
7.000000000000011,5.1,2.0
7.000000000000011,5.1499999999999995,1.0
7.000000000000011,5.124999999999999,1.0
7.000000000000011,5.112499999999999,1.0
6.900000000000011,6.0,1.0
6.900000000000011,5.6,1.0
6.900000000000011,5.199999999999999,1.0
6.900000000000011,4.799999999999999,2.0
6.900000000000011,4.999999999999999,2.0
6.900000000000011,5.1,2.0
6.900000000000011,5.1499999999999995,1.0
6.900000000000011,5.124999999999999,1.0
6.900000000000011,5.112499999999999,2.0
6.800000000000011,6.0,1.0
6.800000000000011,5.6,1.0
6.800000000000011,5.199999999999999,1.0
6.800000000000011,4.799999999999999,2.0
6.800000000000011,4.999999999999999,2.0
6.800000000000011,5.1,2.0
6.800000000000011,5.1499999999999995,1.0
6.800000000000011,5.124999999999999,1.0
6.800000000000011,5.112499999999999,2.0
6.700000000000012,6.0,1.0
6.700000000000012,5.6,1.0
6.700000000000012,5.199999999999999,1.0
6.700000000000012,4.799999999999999,2.0
6.700000000000012,4.999999999999999,2.0
6.700000000000012,5.1,2.0
6.700000000000012,5.1499999999999995,1.0
6.700000000000012,5.124999999999999,2.0
6.700000000000012,5.137499999999999,1.0
6.600000000000012,6.0,1.0
6.600000000000012,5.6,1.0
6.600000000000012,5.199999999999999,1.0
6.600000000000012,4.799999999999999,2.0
6.600000000000012,4.999999999999999,2.0
6.600000000000012,5.1,2.0
6.600000000000012,5.1499999999999995,1.0
6.600000000000012,5.124999999999999,2.0
6.600000000000012,5.137499999999999,1.0
6.500000000000012,6.0,1.0
6.500000000000012,5.6,1.0
6.500000000000012,5.199999999999999,1.0
6.500000000000012,4.799999999999999,2.0
6.500000000000012,4.999999999999999,2.0
6.500000000000012,5.1,2.0
6.500000000000012,5.1499999999999995,1.0
6.500000000000012,5.124999999999999,2.0
6.500000000000012,5.137499999999999,2.0
6.400000000000013,6.0,1.0
6.400000000000013,5.6,1.0
6.400000000000013,5.199999999999999,1.0
6.400000000000013,4.799999999999999,2.0
6.400000000000013,4.999999999999999,2.0
6.400000000000013,5.1,2.0
6.400000000000013,5.1499999999999995,1.0
6.400000000000013,5.124999999999999,2.0
6.400000000000013,5.137499999999999,2.0
6.300000000000013,6.0,1.0
6.300000000000013,5.6,1.0
6.300000000000013,5.199999999999999,1.0
6.300000000000013,4.799999999999999,2.0
6.300000000000013,4.999999999999999,2.0
6.300000000000013,5.1,2.0
6.300000000000013,5.1499999999999995,2.0
6.300000000000013,5.174999999999999,1.0
6.300000000000013,5.162499999999999,1.0
6.2000000000000135,6.0,1.0
6.2000000000000135,5.6,1.0
6.2000000000000135,5.199999999999999,1.0
6.2000000000000135,4.799999999999999,2.0
6.2000000000000135,4.999999999999999,2.0
6.2000000000000135,5.1,2.0
6.2000000000000135,5.1499999999999995,2.0
6.2000000000000135,5.174999999999999,1.0
6.2000000000000135,5.162499999999999,1.0
6.100000000000014,6.0,1.0
6.100000000000014,5.6,1.0
6.100000000000014,5.199999999999999,1.0
6.100000000000014,4.799999999999999,2.0
6.100000000000014,4.999999999999999,2.0
6.100000000000014,5.1,2.0
6.100000000000014,5.1499999999999995,2.0
6.100000000000014,5.174999999999999,1.0
6.100000000000014,5.162499999999999,1.0
6.000000000000014,6.0,1.0
6.000000000000014,5.6,1.0
6.000000000000014,5.199999999999999,1.0
6.000000000000014,4.799999999999999,2.0
6.000000000000014,4.999999999999999,2.0
6.000000000000014,5.1,2.0
6.000000000000014,5.1499999999999995,1.0
6.000000000000014,5.124999999999999,2.0
6.000000000000014,5.137499999999999,2.0
5.900000000000015,6.0,1.0
5.900000000000015,5.6,1.0
5.900000000000015,5.199999999999999,1.0
5.900000000000015,4.799999999999999,2.0
5.900000000000015,4.999999999999999,2.0
5.900000000000015,5.1,2.0
5.900000000000015,5.1499999999999995,2.0
5.900000000000015,5.174999999999999,1.0
5.900000000000015,5.162499999999999,1.0
5.800000000000015,6.0,1.0
5.800000000000015,5.6,1.0
5.800000000000015,5.199999999999999,1.0
5.800000000000015,4.799999999999999,2.0
5.800000000000015,4.999999999999999,2.0
5.800000000000015,5.1,2.0
5.800000000000015,5.1499999999999995,1.0
5.800000000000015,5.124999999999999,2.0
5.800000000000015,5.137499999999999,2.0
5.700000000000015,6.0,1.0
5.700000000000015,5.6,1.0
5.700000000000015,5.199999999999999,1.0
5.700000000000015,4.799999999999999,2.0
5.700000000000015,4.999999999999999,2.0
5.700000000000015,5.1,2.0
5.700000000000015,5.1499999999999995,2.0
5.700000000000015,5.174999999999999,1.0
5.700000000000015,5.162499999999999,2.0
5.600000000000016,6.0,1.0
5.600000000000016,5.6,1.0
5.600000000000016,5.199999999999999,1.0
5.600000000000016,4.799999999999999,2.0
5.600000000000016,4.999999999999999,2.0
5.600000000000016,5.1,2.0
5.600000000000016,5.1499999999999995,2.0
5.600000000000016,5.174999999999999,1.0
5.600000000000016,5.162499999999999,1.0
5.500000000000016,6.0,1.0
5.500000000000016,5.6,1.0
5.500000000000016,5.199999999999999,1.0
5.500000000000016,4.799999999999999,2.0
5.500000000000016,4.999999999999999,2.0
5.500000000000016,5.1,2.0
5.500000000000016,5.1499999999999995,2.0
5.500000000000016,5.174999999999999,2.0
5.500000000000016,5.187499999999999,1.0
5.400000000000016,6.0,1.0
5.400000000000016,5.6,1.0
5.400000000000016,5.199999999999999,1.0
5.400000000000016,4.799999999999999,2.0
5.400000000000016,4.999999999999999,2.0
5.400000000000016,5.1,2.0
5.400000000000016,5.1499999999999995,2.0
5.400000000000016,5.174999999999999,1.0
5.400000000000016,5.162499999999999,2.0
5.300000000000017,6.0,1.0
5.300000000000017,5.6,1.0
5.300000000000017,5.199999999999999,1.0
5.300000000000017,4.799999999999999,2.0
5.300000000000017,4.999999999999999,2.0
5.300000000000017,5.1,2.0
5.300000000000017,5.1499999999999995,2.0
5.300000000000017,5.174999999999999,2.0
5.300000000000017,5.187499999999999,1.0
5.200000000000017,6.0,1.0
5.200000000000017,5.6,1.0
5.200000000000017,5.199999999999999,1.0
5.200000000000017,4.799999999999999,2.0
5.200000000000017,4.999999999999999,2.0
5.200000000000017,5.1,2.0
5.200000000000017,5.1499999999999995,2.0
5.200000000000017,5.174999999999999,1.0
5.200000000000017,5.162499999999999,2.0
5.100000000000017,6.0,1.0
5.100000000000017,5.6,1.0
5.100000000000017,5.199999999999999,1.0
5.100000000000017,4.799999999999999,2.0
5.100000000000017,4.999999999999999,2.0
5.100000000000017,5.1,2.0
5.100000000000017,5.1499999999999995,2.0
5.100000000000017,5.174999999999999,1.0
5.100000000000017,5.162499999999999,2.0
5.000000000000018,6.0,1.0
5.000000000000018,5.6,1.0
5.000000000000018,5.199999999999999,1.0
5.000000000000018,4.799999999999999,2.0
5.000000000000018,4.999999999999999,1.0
5.000000000000018,4.8999999999999995,2.0
5.000000000000018,4.949999999999999,2.0
5.000000000000018,4.974999999999999,1.0
5.000000000000018,4.962499999999999,2.0
4.900000000000018,6.0,1.0
4.900000000000018,5.6,1.0
4.900000000000018,5.199999999999999,1.0
4.900000000000018,4.799999999999999,2.0
4.900000000000018,4.999999999999999,1.0
4.900000000000018,4.8999999999999995,2.0
4.900000000000018,4.949999999999999,2.0
4.900000000000018,4.974999999999999,1.0
4.900000000000018,4.962499999999999,1.0
4.8000000000000185,6.0,1.0
4.8000000000000185,5.6,1.0
4.8000000000000185,5.199999999999999,1.0
4.8000000000000185,4.799999999999999,2.0
4.8000000000000185,4.999999999999999,1.0
4.8000000000000185,4.8999999999999995,2.0
4.8000000000000185,4.949999999999999,2.0
4.8000000000000185,4.974999999999999,1.0
4.8000000000000185,4.962499999999999,2.0
4.700000000000019,6.0,1.0
4.700000000000019,5.6,1.0
4.700000000000019,5.199999999999999,1.0
4.700000000000019,4.799999999999999,2.0
4.700000000000019,4.999999999999999,1.0
4.700000000000019,4.8999999999999995,2.0
4.700000000000019,4.949999999999999,2.0
4.700000000000019,4.974999999999999,2.0
