mq,lambda1,order
4.700000000000019,4.987499999999999,1.0
4.600000000000019,6.0,1.0
4.600000000000019,5.6,1.0
4.600000000000019,5.199999999999999,1.0
4.600000000000019,4.799999999999999,2.0
4.600000000000019,4.999999999999999,1.0
4.600000000000019,4.8999999999999995,2.0
4.600000000000019,4.949999999999999,2.0
4.600000000000019,4.974999999999999,1.0
4.600000000000019,4.962499999999999,2.0
4.5000000000000195,6.0,1.0
4.5000000000000195,5.6,1.0
4.5000000000000195,5.199999999999999,1.0
4.5000000000000195,4.799999999999999,2.0
4.5000000000000195,4.999999999999999,1.0
4.5000000000000195,4.8999999999999995,2.0
4.5000000000000195,4.949999999999999,2.0
4.5000000000000195,4.974999999999999,2.0
4.5000000000000195,4.987499999999999,2.0
4.40000000000002,6.0,1.0
4.40000000000002,5.6,1.0
4.40000000000002,5.199999999999999,1.0
4.40000000000002,4.799999999999999,2.0
4.40000000000002,4.999999999999999,1.0
4.40000000000002,4.8999999999999995,2.0
4.40000000000002,4.949999999999999,2.0
4.40000000000002,4.974999999999999,2.0
4.40000000000002,4.987499999999999,2.0
4.30000000000002,6.0,1.0
4.30000000000002,5.6,1.0
4.30000000000002,5.199999999999999,1.0
4.30000000000002,4.799999999999999,2.0
4.30000000000002,4.999999999999999,1.0
4.30000000000002,4.8999999999999995,2.0
4.30000000000002,4.949999999999999,2.0
4.30000000000002,4.974999999999999,2.0
4.30000000000002,4.987499999999999,1.0
4.200000000000021,6.0,1.0
4.200000000000021,5.6,1.0
4.200000000000021,5.199999999999999,1.0
4.200000000000021,4.799999999999999,2.0
4.200000000000021,4.999999999999999,1.0
4.200000000000021,4.8999999999999995,2.0
4.200000000000021,4.949999999999999,2.0
4.200000000000021,4.974999999999999,2.0
4.200000000000021,4.987499999999999,1.0
4.100000000000021,6.0,1.0
4.100000000000021,5.6,1.0
4.100000000000021,5.199999999999999,1.0
4.100000000000021,4.799999999999999,2.0
4.100000000000021,4.999999999999999,1.0
4.100000000000021,4.8999999999999995,2.0
4.100000000000021,4.949999999999999,2.0
4.100000000000021,4.974999999999999,2.0
4.100000000000021,4.987499999999999,2.0
4.000000000000021,6.0,1.0
4.000000000000021,5.6,1.0
4.000000000000021,5.199999999999999,1.0
4.000000000000021,4.799999999999999,2.0
4.000000000000021,4.999999999999999,1.0
4.000000000000021,4.8999999999999995,2.0
4.000000000000021,4.949999999999999,2.0
4.000000000000021,4.974999999999999,1.0
4.000000000000021,4.962499999999999,2.0
3.9000000000000217,6.0,1.0
3.9000000000000217,5.6,1.0
3.9000000000000217,5.199999999999999,1.0
3.9000000000000217,4.799999999999999,2.0
3.9000000000000217,4.999999999999999,1.0
3.9000000000000217,4.8999999999999995,2.0
3.9000000000000217,4.949999999999999,2.0
3.9000000000000217,4.974999999999999,2.0
3.9000000000000217,4.987499999999999,2.0
3.800000000000022,6.0,1.0
3.800000000000022,5.6,1.0
3.800000000000022,5.199999999999999,1.0
3.800000000000022,4.799999999999999,2.0
3.800000000000022,4.999999999999999,1.0
3.800000000000022,4.8999999999999995,2.0
3.800000000000022,4.949999999999999,2.0
3.800000000000022,4.974999999999999,2.0
3.800000000000022,4.987499999999999,2.0
3.7000000000000224,6.0,1.0
3.7000000000000224,5.6,1.0
3.7000000000000224,5.199999999999999,1.0
3.7000000000000224,4.799999999999999,2.0
3.7000000000000224,4.999999999999999,2.0
3.7000000000000224,5.1,1.0
3.7000000000000224,5.05,1.0
3.7000000000000224,5.0249999999999995,1.0
3.7000000000000224,5.012499999999999,1.0
3.6000000000000227,6.0,1.0
3.6000000000000227,5.6,1.0
3.6000000000000227,5.199999999999999,1.0
3.6000000000000227,4.799999999999999,2.0
3.6000000000000227,4.999999999999999,2.0
3.6000000000000227,5.1,1.0
3.6000000000000227,5.05,1.0
3.6000000000000227,5.0249999999999995,1.0
3.6000000000000227,5.012499999999999,1.0
3.500000000000023,6.0,1.0
3.500000000000023,5.6,1.0
3.500000000000023,5.199999999999999,1.0
3.500000000000023,4.799999999999999,2.0
3.500000000000023,4.999999999999999,2.0
3.500000000000023,5.1,1.0
3.500000000000023,5.05,1.0
3.500000000000023,5.0249999999999995,1.0
3.500000000000023,5.012499999999999,2.0
3.4000000000000234,6.0,1.0
3.4000000000000234,5.6,1.0
3.4000000000000234,5.199999999999999,1.0
3.4000000000000234,4.799999999999999,2.0
3.4000000000000234,4.999999999999999,2.0
3.4000000000000234,5.1,1.0
3.4000000000000234,5.05,1.0
3.4000000000000234,5.0249999999999995,1.0
3.4000000000000234,5.012499999999999,2.0
3.300000000000024,6.0,1.0
3.300000000000024,5.6,1.0
3.300000000000024,5.199999999999999,1.0
3.300000000000024,4.799999999999999,2.0
3.300000000000024,4.999999999999999,2.0
3.300000000000024,5.1,1.0
3.300000000000024,5.05,1.0
3.300000000000024,5.0249999999999995,1.0
3.300000000000024,5.012499999999999,2.0
3.200000000000024,6.0,1.0
3.200000000000024,5.6,1.0
3.200000000000024,5.199999999999999,1.0
3.200000000000024,4.799999999999999,2.0
3.200000000000024,4.999999999999999,2.0
3.200000000000024,5.1,1.0
3.200000000000024,5.05,1.0
3.200000000000024,5.0249999999999995,2.0
3.200000000000024,5.0375,1.0
3.1000000000000245,6.0,1.0
3.1000000000000245,5.6,1.0
3.1000000000000245,5.199999999999999,1.0
3.1000000000000245,4.799999999999999,2.0
3.1000000000000245,4.999999999999999,2.0
3.1000000000000245,5.1,1.0
3.1000000000000245,5.05,1.0
3.1000000000000245,5.0249999999999995,2.0
3.1000000000000245,5.0375,1.0
3.000000000000025,6.0,1.0
3.000000000000025,5.6,1.0
3.000000000000025,5.199999999999999,1.0
3.000000000000025,4.799999999999999,2.0
3.000000000000025,4.999999999999999,2.0
3.000000000000025,5.1,1.0
3.000000000000025,5.05,1.0
3.000000000000025,5.0249999999999995,2.0
3.000000000000025,5.0375,1.0
2.9000000000000252,6.0,1.0
2.9000000000000252,5.6,1.0
2.9000000000000252,5.199999999999999,1.0
2.9000000000000252,4.799999999999999,2.0
2.9000000000000252,4.999999999999999,2.0
2.9000000000000252,5.1,1.0
2.9000000000000252,5.05,1.0
2.9000000000000252,5.0249999999999995,2.0
2.9000000000000252,5.0375,2.0
2.8000000000000256,6.0,1.0
2.8000000000000256,5.6,1.0
2.8000000000000256,5.199999999999999,1.0
2.8000000000000256,4.799999999999999,2.0
2.8000000000000256,4.999999999999999,2.0
2.8000000000000256,5.1,1.0
2.8000000000000256,5.05,1.0
2.8000000000000256,5.0249999999999995,2.0
2.8000000000000256,5.0375,2.0
2.700000000000026,6.0,1.0
2.700000000000026,5.6,1.0
2.700000000000026,5.199999999999999,1.0
2.700000000000026,4.799999999999999,2.0
2.700000000000026,4.999999999999999,2.0
2.700000000000026,5.1,1.0
2.700000000000026,5.05,1.0
2.700000000000026,5.0249999999999995,1.0
2.700000000000026,5.012499999999999,1.0
2.6000000000000263,6.0,1.0
2.6000000000000263,5.6,1.0
2.6000000000000263,5.199999999999999,1.0
2.6000000000000263,4.799999999999999,2.0
2.6000000000000263,4.999999999999999,2.0
2.6000000000000263,5.1,1.0
2.6000000000000263,5.05,2.0
2.6000000000000263,5.074999999999999,1.0
2.6000000000000263,5.062499999999999,1.0
2.5000000000000266,6.0,1.0
2.5000000000000266,5.6,1.0
2.5000000000000266,5.199999999999999,1.0
2.5000000000000266,4.799999999999999,2.0
2.5000000000000266,4.999999999999999,2.0
2.5000000000000266,5.1,1.0
2.5000000000000266,5.05,2.0
2.5000000000000266,5.074999999999999,1.0
2.5000000000000266,5.062499999999999,1.0
2.400000000000027,6.0,1.0
2.400000000000027,5.6,1.0
2.400000000000027,5.199999999999999,1.0
2.400000000000027,4.799999999999999,2.0
2.400000000000027,4.999999999999999,1.0
2.400000000000027,4.8999999999999995,2.0
2.400000000000027,4.949999999999999,2.0
2.400000000000027,4.974999999999999,2.0
2.400000000000027,4.987499999999999,2.0
2.3000000000000274,6.0,1.0
2.3000000000000274,5.6,1.0
2.3000000000000274,5.199999999999999,1.0
2.3000000000000274,4.799999999999999,2.0
2.3000000000000274,4.999999999999999,1.0
2.3000000000000274,4.8999999999999995,2.0
2.3000000000000274,4.949999999999999,2.0
2.3000000000000274,4.974999999999999,2.0
2.3000000000000274,4.987499999999999,2.0
2.2000000000000277,6.0,1.0
2.2000000000000277,5.6,1.0
2.2000000000000277,5.199999999999999,1.0
2.2000000000000277,4.799999999999999,2.0
2.2000000000000277,4.999999999999999,1.0
2.2000000000000277,4.8999999999999995,2.0
2.2000000000000277,4.949999999999999,2.0
2.2000000000000277,4.974999999999999,2.0
2.2000000000000277,4.987499999999999,2.0
2.100000000000028,6.0,1.0
2.100000000000028,5.6,1.0
2.100000000000028,5.199999999999999,1.0
2.100000000000028,4.799999999999999,2.0
2.100000000000028,4.999999999999999,1.0
2.100000000000028,4.8999999999999995,2.0
2.100000000000028,4.949999999999999,2.0
2.100000000000028,4.974999999999999,1.0
2.100000000000028,4.962499999999999,2.0
2.0000000000000284,6.0,1.0
2.0000000000000284,5.6,1.0
2.0000000000000284,5.199999999999999,1.0
2.0000000000000284,4.799999999999999,2.0
2.0000000000000284,4.999999999999999,1.0
2.0000000000000284,4.8999999999999995,2.0
2.0000000000000284,4.949999999999999,2.0
2.0000000000000284,4.974999999999999,1.0
2.0000000000000284,4.962499999999999,2.0
1.9000000000000288,6.0,1.0
1.9000000000000288,5.6,1.0
1.9000000000000288,5.199999999999999,1.0
1.9000000000000288,4.799999999999999,2.0
1.9000000000000288,4.999999999999999,1.0
1.9000000000000288,4.8999999999999995,2.0
1.9000000000000288,4.949999999999999,2.0
1.9000000000000288,4.974999999999999,2.0
1.9000000000000288,4.987499999999999,1.0
1.8000000000000291,6.0,1.0
1.8000000000000291,5.6,1.0
1.8000000000000291,5.199999999999999,1.0
1.8000000000000291,4.799999999999999,2.0
1.8000000000000291,4.999999999999999,1.0
1.8000000000000291,4.8999999999999995,2.0
1.8000000000000291,4.949999999999999,2.0
1.8000000000000291,4.974999999999999,2.0
1.8000000000000291,4.987499999999999,1.0
1.7000000000000295,6.0,1.0
1.7000000000000295,5.6,1.0
1.7000000000000295,5.199999999999999,1.0
1.7000000000000295,4.799999999999999,2.0
1.7000000000000295,4.999999999999999,1.0
1.7000000000000295,4.8999999999999995,2.0
1.7000000000000295,4.949999999999999,2.0
1.7000000000000295,4.974999999999999,2.0
1.7000000000000295,4.987499999999999,2.0
1.6000000000000298,6.0,1.0
1.6000000000000298,5.6,1.0
1.6000000000000298,5.199999999999999,1.0
1.6000000000000298,4.799999999999999,2.0
1.6000000000000298,4.999999999999999,1.0
1.6000000000000298,4.8999999999999995,2.0
1.6000000000000298,4.949999999999999,2.0
1.6000000000000298,4.974999999999999,2.0
1.6000000000000298,4.987499999999999,2.0
1.5000000000000302,6.0,1.0
1.5000000000000302,5.6,1.0
1.5000000000000302,5.199999999999999,1.0
1.5000000000000302,4.799999999999999,2.0
1.5000000000000302,4.999999999999999,2.0
1.5000000000000302,5.1,1.0
1.5000000000000302,5.05,1.0
1.5000000000000302,5.0249999999999995,1.0
1.5000000000000302,5.012499999999999,1.0
1.4000000000000306,6.0,1.0
1.4000000000000306,5.6,1.0
1.4000000000000306,5.199999999999999,1.0
1.4000000000000306,4.799999999999999,2.0
1.4000000000000306,4.999999999999999,1.0
1.4000000000000306,4.8999999999999995,2.0
1.4000000000000306,4.949999999999999,2.0
1.4000000000000306,4.974999999999999,2.0
1.4000000000000306,4.987499999999999,2.0
1.300000000000031,6.0,1.0
1.300000000000031,5.6,1.0
1.300000000000031,5.199999999999999,1.0
1.300000000000031,4.799999999999999,2.0
1.300000000000031,4.999999999999999,1.0
1.300000000000031,4.8999999999999995,2.0
1.300000000000031,4.949999999999999,2.0
1.300000000000031,4.974999999999999,2.0
1.300000000000031,4.987499999999999,2.0
1.2000000000000313,6.0,1.0
1.2000000000000313,5.6,1.0
1.2000000000000313,5.199999999999999,1.0
1.2000000000000313,4.799999999999999,2.0
1.2000000000000313,4.999999999999999,1.0
1.2000000000000313,4.8999999999999995,2.0
1.2000000000000313,4.949999999999999,2.0
1.2000000000000313,4.974999999999999,2.0
1.2000000000000313,4.987499999999999,2.0
1.1000000000000316,6.0,1.0
1.1000000000000316,5.6,1.0
1.1000000000000316,5.199999999999999,1.0
1.1000000000000316,4.799999999999999,2.0
1.1000000000000316,4.999999999999999,2.0
1.1000000000000316,5.1,1.0
1.1000000000000316,5.05,1.0
1.1000000000000316,5.0249999999999995,1.0
1.1000000000000316,5.012499999999999,1.0
1.000000000000032,6.0,1.0
1.000000000000032,5.6,1.0
1.000000000000032,5.199999999999999,1.0
1.000000000000032,4.799999999999999,2.0
1.000000000000032,4.999999999999999,2.0
1.000000000000032,5.1,1.0
1.000000000000032,5.05,1.0
1.000000000000032,5.0249999999999995,1.0
1.000000000000032,5.012499999999999,1.0
0.9000000000000323,6.0,1.0
0.9000000000000323,5.6,1.0
0.9000000000000323,5.199999999999999,1.0
0.9000000000000323,4.799999999999999,2.0
0.9000000000000323,4.999999999999999,2.0
0.9000000000000323,5.1,1.0
0.9000000000000323,5.05,1.0
0.9000000000000323,5.0249999999999995,1.0
0.9000000000000323,5.012499999999999,2.0
0.8000000000000327,6.0,1.0
0.8000000000000327,5.6,1.0
0.8000000000000327,5.199999999999999,1.0
0.8000000000000327,4.799999999999999,2.0
0.8000000000000327,4.999999999999999,2.0
0.8000000000000327,5.1,1.0
0.8000000000000327,5.05,1.0
0.8000000000000327,5.0249999999999995,2.0
0.8000000000000327,5.0375,1.0
0.700000000000033,6.0,1.0
0.700000000000033,5.6,1.0
0.700000000000033,5.199999999999999,1.0
0.700000000000033,4.799999999999999,2.0
0.700000000000033,4.999999999999999,2.0
0.700000000000033,5.1,1.0
0.700000000000033,5.05,1.0
0.700000000000033,5.0249999999999995,2.0
0.700000000000033,5.0375,2.0
0.6000000000000334,6.0,1.0
0.6000000000000334,5.6,1.0
0.6000000000000334,5.199999999999999,1.0
0.6000000000000334,4.799999999999999,2.0
0.6000000000000334,4.999999999999999,2.0
0.6000000000000334,5.1,1.0
0.6000000000000334,5.05,1.0
0.6000000000000334,5.0249999999999995,2.0
0.6000000000000334,5.0375,2.0
0.5000000000000338,6.0,1.0
0.5000000000000338,5.6,1.0
0.5000000000000338,5.199999999999999,1.0
0.5000000000000338,4.799999999999999,2.0
0.5000000000000338,4.999999999999999,2.0
0.5000000000000338,5.1,1.0
0.5000000000000338,5.05,2.0
0.5000000000000338,5.074999999999999,1.0
0.5000000000000338,5.062499999999999,1.0
0.4000000000000341,6.0,1.0
0.4000000000000341,5.6,1.0
0.4000000000000341,5.199999999999999,1.0
0.4000000000000341,4.799999999999999,2.0
0.4000000000000341,4.999999999999999,2.0
0.4000000000000341,5.1,1.0
0.4000000000000341,5.05,2.0
0.4000000000000341,5.074999999999999,2.0
0.4000000000000341,5.0874999999999995,1.0
0.30000000000003446,6.0,1.0
0.30000000000003446,5.6,1.0
0.30000000000003446,5.199999999999999,1.0
0.30000000000003446,4.799999999999999,2.0
0.30000000000003446,4.999999999999999,2.0
0.30000000000003446,5.1,2.0
0.30000000000003446,5.1499999999999995,1.0
0.30000000000003446,5.124999999999999,1.0
0.30000000000003446,5.112499999999999,1.0
0.20000000000003482,6.0,1.0
0.20000000000003482,5.6,1.0
0.20000000000003482,5.199999999999999,1.0
0.20000000000003482,4.799999999999999,2.0
0.20000000000003482,4.999999999999999,2.0
0.20000000000003482,5.1,1.0
0.20000000000003482,5.05,2.0
0.20000000000003482,5.074999999999999,2.0
0.20000000000003482,5.0874999999999995,2.0
0.10000000000003517,6.0,1.0
0.10000000000003517,5.6,1.0
0.10000000000003517,5.199999999999999,1.0
0.10000000000003517,4.799999999999999,1.0
0.10000000000003517,4.399999999999999,2.0
0.10000000000003517,4.599999999999999,2.0
0.10000000000003517,4.699999999999999,1.0
0.10000000000003517,4.6499999999999995,2.0
0.10000000000003517,4.674999999999999,2.0
0.10000000000003517,4.687499999999999,2.0
