,mu,Tc,order
0,0,155.90914530464107,2.0
1,5,155.9005272633745,2.0
2,10,155.88552383401924,2.0
3,15,155.85395411808415,2.0
4,20,155.81218117712623,2.0
5,25,155.7626386031093,2.0
6,30,155.69690929355284,2.0
7,35,155.62090977937814,2.0
8,40,155.53405957075904,2.0
9,45,155.4394843821445,2.0
10,50,155.32825360082307,2.0
11,55,155.20295710448104,2.0
12,60,155.07265946502056,2.0
13,65,154.92990362082762,2.0
14,70,154.77687757201645,2.0
15,75,154.6048739711934,2.0
16,80,154.42751200274347,2.0
17,85,154.24322880944214,2.0
18,90,154.04355891465667,2.0
19,95,153.82871442043896,2.0
20,100,153.61281685813904,2.0
21,105,153.37963856024234,2.0
22,110,153.12785854028544,2.0
23,115,152.87510359510748,2.0
24,120,152.61147190786468,2.0
25,125,152.32997899519893,2.0
26,130,152.0387256670573,2.0
27,135,151.73901802554872,2.0
28,140,151.42847829503887,2.0
29,150,150.78173671839278,2.0
30,155,150.43971211276863,2.0
31,160,150.08903820873343,2.0
32,165,149.7289023205304,2.0
33,170,149.356614845298,2.0
34,175,148.9773808418115,2.0
35,180,148.5832475994513,2.0
36,185,148.18228392680234,2.0
37,190,147.7717905461725,2.0
38,195,147.35104184527893,2.0
39,200,146.92235010859628,2.0
40,205,146.4828268617483,2.0
41,210,146.0339684785094,1.0
42,215,145.5759620056013,1.0
43,220,145.1086676954733,1.0
44,225,144.63220164609058,1.0
45,230,144.1473765432099,1.0
46,235,143.65419238683128,1.0
47,240,143.15264917695475,1.0
48,245,142.63856738683128,1.0
49,250,142.12030606995887,1.0
50,255,141.58950617283952,1.0
51,260,141.0587062757202,1.0
52,265,140.51118827160496,1.0
53,270,139.95949074074076,1.0
54,275,139.4036136831276,1.0
55,280,138.83101851851853,1.0
56,285,138.2542438271605,1.0
57,290,137.67746913580248,1.0
58,295,137.0756172839506,1.0
59,300,136.49305555555554,1.0
60,305,135.89506172839504,1.0
61,310,135.27777777777777,1.0
62,315,134.67013888888889,1.0
63,320,134.0432098765432,1.0
64,325,133.41628086419755,1.0
65,330,132.77970679012347,1.0
66,335,132.133487654321,1.0
67,340,131.45833333333334,1.0
68,345,130.82175925925927,1.0
69,350,130.17554012345678,1.0
70,355,129.49074074074076,1.0
71,360,128.7962962962963,1.0
72,365,128.1597222222222,1.0
73,370,127.46527777777777,1.0
74,375,126.77083333333333,1.0
75,380,126.0763888888889,1.0
76,385,125.38194444444446,1.0
77,390,124.6875,1.0
78,395,123.9699074074074,1.0
79,400,123.27546296296296,1.0
80,405,122.58101851851852,1.0
81,410,121.82870370370371,1.0
82,415,121.13425925925925,1.0
83,420,120.38194444444444,1.0
84,425,119.6875,1.0
85,430,118.91203703703704,1.0
86,435,118.2175925925926,1.0
87,440,117.46527777777779,1.0
88,445,116.71296296296296,1.0
89,450,115.90277777777777,1.0
90,455,115.20833333333333,1.0
91,460,114.45601851851852,1.0
92,465,113.68055555555556,1.0
93,470,112.98611111111111,1.0
94,475,112.23379629629629,1.0
95,480,111.42361111111111,1.0
96,485,110.55555555555556,1.0
97,490,109.86111111111111,1.0
98,495,109.02777777777779,1.0
99,500,108.33333333333333,1.0
100,505,107.63888888888889,1.0
101,510,106.88657407407408,1.0
102,515,105.90277777777777,1.0
103,520,105.20833333333333,1.0
104,525,104.51388888888889,1.0
105,530,103.68055555555556,1.0
106,535,102.98611111111111,1.0
107,540,102.23379629629629,1.0
108,545,101.25,1.0
109,550,100.55555555555556,1.0
110,555,99.86111111111111,1.0
111,560,99.02777777777779,1.0
112,565,98.33333333333333,1.0
113,570,97.58101851851852,1.0
114,575,96.59722222222223,1.0
115,580,95.90277777777777,1.0
116,585,95.20833333333333,1.0
117,590,94.51388888888889,1.0
118,595,93.68055555555556,1.0
119,600,92.98611111111111,1.0
120,605,91.94444444444444,1.0
121,610,91.25,1.0
122,615,90.55555555555556,1.0
123,620,89.86111111111111,1.0
124,625,89.02777777777779,1.0
125,630,88.33333333333333,1.0
126,635,87.63888888888889,1.0
127,640,86.59722222222223,1.0
128,645,85.90277777777777,1.0
129,650,85.20833333333333,1.0
130,655,84.16666666666667,1.0
131,660,83.68055555555556,1.0
132,665,82.98611111111111,1.0
133,670,82.29166666666667,1.0
134,675,81.25,1.0
135,680,80.90277777777777,1.0
136,685,79.86111111111111,1.0
137,690,79.375,1.0
138,695,78.33333333333333,1.0
139,700,77.98611111111111,1.0
140,705,76.94444444444444,1.0
141,710,76.25,1.0
142,715,75.55555555555556,1.0
143,720,74.86111111111111,1.0
144,725,74.375,1.0
145,730,73.33333333333333,1.0
146,735,72.98611111111111,1.0
147,740,72.29166666666667,1.0
148,745,71.25,1.0
149,750,70.90277777777777,1.0
150,755,70.20833333333333,1.0
151,760,69.16666666666667,1.0
152,765,68.33333333333333,1.0
153,770,67.98611111111111,1.0
154,775,67.46527777777777,1.0
155,780,66.25,1.0
156,785,66.00694444444444,1.0
157,790,64.79166666666666,1.0
158,795,64.79166666666666,1.0
159,800,63.33333333333333,1.0
160,805,63.33333333333333,1.0
161,810,62.60416666666666,1.0
162,815,61.875,1.0
163,820,61.388888888888886,1.0
164,825,60.416666666666664,1.0
165,830,59.93055555555556,1.0
166,835,58.95833333333333,1.0
167,840,58.95833333333333,1.0
168,845,57.5,1.0
169,850,57.5,1.0
170,855,56.77083333333333,1.0
171,860,56.041666666666664,1.0
172,865,56.041666666666664,1.0
173,870,54.58333333333333,1.0
174,875,54.58333333333333,1.0
175,880,53.854166666666664,1.0
176,885,53.125,1.0
177,890,53.125,1.0
178,895,51.666666666666664,1.0
179,900,51.666666666666664,1.0
180,905,50.9375,1.0
181,910,50.20833333333333,1.0
182,915,50.20833333333333,1.0
183,920,48.75,1.0
184,925,48.75,1.0
185,930,48.02083333333333,1.0
186,935,47.291666666666664,1.0
187,940,47.291666666666664,1.0
188,945,46.31944444444444,1.0
189,950,45.833333333333336,1.0
190,955,45.833333333333336,1.0
191,960,44.375,1.0
192,965,44.236111111111114,1.0
193,970,43.75,1.0
194,975,43.75,1.0
195,980,42.291666666666664,1.0
196,985,42.291666666666664,1.0
197,990,42.291666666666664,1.0
198,995,40.833333333333336,1.0
199,1000,40.833333333333336,1.0
200,1005,40.833333333333336,1.0
201,1010,39.375,1.0
202,1015,40.20833333333333,1.0
203,1020,38.75,1.0
204,1025,38.75,1.0
205,1030,38.75,1.0
206,1035,37.291666666666664,1.0
207,1040,37.291666666666664,1.0
208,1045,37.291666666666664,1.0
209,1050,35.833333333333336,1.0
210,1055,35.833333333333336,1.0
211,1060,35.833333333333336,1.0
212,1065,35.833333333333336,1.0
213,1070,34.375,1.0
214,1075,33.75,1.0
215,1080,33.75,1.0
216,1085,33.75,1.0
217,1090,33.75,1.0
218,1095,32.291666666666664,1.0
219,1100,32.291666666666664,1.0
220,1105,32.291666666666664,1.0
221,1110,32.291666666666664,1.0
222,1115,30.833333333333332,1.0
223,1120,30.833333333333332,1.0
224,1125,30.833333333333332,1.0
225,1130,30.833333333333332,1.0
226,1135,29.375,1.0
227,1140,28.75,1.0
228,1145,28.75,1.0
229,1150,28.75,1.0
230,1155,28.75,1.0
231,1160,28.75,1.0
232,1165,27.291666666666664,1.0
233,1170,27.291666666666664,1.0
234,1175,27.291666666666664,1.0
235,1180,27.291666666666664,1.0
236,1185,25.833333333333332,1.0
237,1190,25.833333333333332,1.0
238,1195,25.833333333333332,1.0
239,1200,25.833333333333332,1.0
240,1205,25.833333333333332,1.0
241,1210,24.375,1.0
242,1215,25.208333333333332,1.0
243,1220,23.75,1.0
244,1225,23.75,1.0
245,1230,23.75,1.0
246,1235,23.75,1.0
247,1240,23.75,1.0
248,1245,22.291666666666664,1.0
249,1250,22.291666666666664,1.0
250,1255,22.291666666666664,1.0
251,1260,22.291666666666664,1.0
252,1265,22.291666666666664,1.0
253,1270,22.291666666666664,1.0
254,1275,20.833333333333332,1.0
255,1280,20.833333333333332,1.0
256,1285,20.833333333333332,1.0
257,1290,20.833333333333332,1.0
258,1295,20.833333333333332,1.0
259,1300,19.375,1.0
260,1305,20.208333333333332,1.0
261,1310,20.208333333333332,1.0
262,1315,18.75,1.0
263,1320,18.75,1.0
264,1325,18.75,1.0
265,1330,18.75,1.0
266,1335,18.75,1.0
267,1340,18.75,1.0
268,1345,17.291666666666664,1.0
269,1350,17.291666666666664,1.0
270,1355,17.291666666666664,1.0
271,1360,17.291666666666664,1.0
272,1365,17.291666666666664,1.0
273,1370,17.291666666666664,1.0
274,1375,17.291666666666664,1.0
275,1380,17.291666666666664,1.0
276,1385,15.833333333333332,1.0
277,1390,15.833333333333332,1.0
278,1395,15.833333333333332,1.0
279,1400,15.833333333333332,1.0
280,1405,15.833333333333332,1.0
281,1410,15.833333333333332,1.0
282,1415,15.833333333333332,1.0
283,1420,14.375,1.0
284,1425,15.208333333333332,1.0
285,1430,15.208333333333332,1.0
286,1435,15.208333333333332,1.0
287,1440,13.75,1.0
288,1445,13.75,1.0
289,1450,13.75,1.0
290,1455,13.75,1.0
291,1460,13.75,1.0
292,1465,13.75,1.0
293,1470,13.75,1.0
294,1475,13.75,1.0
295,1480,13.75,1.0
296,1485,12.291666666666666,1.0
297,1490,12.291666666666666,1.0
298,1495,12.291666666666666,1.0
299,1500,12.291666666666666,1.0
300,1505,12.291666666666666,1.0
301,1510,12.291666666666666,1.0
302,1515,12.291666666666666,1.0
303,1520,12.291666666666666,1.0
304,1525,12.291666666666666,1.0
305,1530,12.291666666666666,1.0
306,1535,10.833333333333332,1.0
307,1540,10.833333333333332,1.0
308,1545,10.833333333333332,1.0
309,1550,10.833333333333332,1.0
310,1555,10.833333333333332,1.0
311,1560,10.833333333333332,1.0
312,1565,10.833333333333332,1.0
313,1570,10.833333333333332,1.0
314,1575,10.833333333333332,1.0
315,1580,10.833333333333332,1.0
316,1585,10.833333333333332,1.0
317,1590,9.375,1.0
318,1595,10.208333333333332,1.0
319,1600,10.208333333333332,1.0
320,1605,10.208333333333332,1.0
321,1610,10.208333333333332,1.0
322,1615,8.75,1.0
323,1620,8.75,1.0
324,1625,8.75,1.0
325,1630,8.75,1.0
326,1635,8.75,1.0
327,1640,8.75,1.0
328,1645,8.75,1.0
329,1650,8.75,1.0
330,1655,8.75,1.0
331,1660,8.75,1.0
332,1665,8.75,1.0
333,1670,8.75,1.0
334,1675,8.75,1.0
335,1680,8.75,1.0
336,1685,7.534722222222221,1.0
337,1690,7.291666666666666,1.0
338,1695,7.291666666666666,1.0
339,1700,7.291666666666666,1.0
340,1705,7.291666666666666,1.0
341,1710,7.291666666666666,1.0
342,1715,7.291666666666666,1.0
343,1720,7.291666666666666,1.0
344,1725,7.291666666666666,1.0
345,1730,7.291666666666666,1.0
346,1735,7.291666666666666,1.0
347,1740,7.291666666666666,1.0
348,1745,7.291666666666666,1.0
349,1750,7.291666666666666,1.0
350,1755,7.291666666666666,1.0
351,1760,7.291666666666666,1.0
352,1765,7.291666666666666,1.0
353,1770,6.076388888888889,1.0
354,1775,6.076388888888889,1.0
355,1780,5.833333333333333,1.0
356,1785,5.833333333333333,1.0
357,1790,5.833333333333333,1.0
358,1795,5.833333333333333,1.0
359,1800,5.833333333333333,1.0
360,1805,5.833333333333333,1.0
361,1810,5.833333333333333,1.0
362,1815,5.833333333333333,1.0
363,1820,5.833333333333333,1.0
364,1825,5.833333333333333,1.0
365,1830,5.833333333333333,1.0
366,1835,5.833333333333333,1.0
367,1840,5.833333333333333,1.0
368,1845,5.833333333333333,1.0
369,1850,5.833333333333333,1.0
370,1855,5.833333333333333,1.0
371,1860,5.833333333333333,1.0
372,1865,5.833333333333333,1.0
373,1870,4.861111111111111,1.0
374,1875,4.618055555555555,1.0
375,1880,4.618055555555555,1.0
376,1885,4.618055555555555,1.0
377,1890,4.375,1.0
378,1895,4.375,1.0
379,1900,4.375,1.0
380,1905,4.375,1.0
381,1910,4.375,1.0
382,1915,4.375,1.0
383,1920,4.375,1.0
384,1925,4.375,1.0
385,1930,4.375,1.0
386,1935,4.375,1.0
387,1940,4.375,1.0
388,1945,4.375,1.0
389,1950,4.375,1.0
390,1955,4.375,1.0
391,1960,4.375,1.0
392,1965,4.375,1.0
393,1970,4.375,1.0
394,1975,4.375,1.0
395,1980,4.375,1.0
396,1985,4.375,1.0
397,1990,4.375,1.0
398,1995,3.4027777777777777,1.0
399,2000,3.4027777777777777,1.0
